units,display,type,space,separator,range,system_of_measurement,fraction_multiple_of_10
SCIM,SCIM,Decimal,space,/,-,Metric,
scim,SCIM,Decimal,space,/,-,Metric,
sec,sec.,Decimal,space,",",to,Metric,
sec.,sec.,Decimal,space,",",to,Metric,
second,sec.,Decimal,space,",",to,Metric,
Seconds,sec.,Decimal,space,",",to,Metric,
seconds,sec.,Decimal,space,",",to,Metric,
sec./card,sec./card,Decimal,space,",",to,Imperial,
sec/day,sec./day,Decimal,space,",",to,Imperial,
sec./div,sec./div,Decimal,space,",",to,Imperial,
SFPM,SFPM,Decimal,space,",",to,Imperial,
sfpm,SFPM,Decimal,space,",",to,Imperial,
sgu,sgU,Decimal,space,",",to,Imperial,
Sone,sones,Decimal,space,",",to,Imperial,
sone,sones,Decimal,space,",",to,Imperial,
sones,sones,Decimal,space,",",to,Imperial,
sq. cm,sq. cm,Decimal,space,",",to,Imperial,
sq. cm.,sq. cm,Decimal,space,",",to,Metric,
sq._cm,sq. cm,Decimal,space,",",to,Imperial,
sq._cm.,sq. cm,Decimal,space,",",to,Metric,
sq. ft.,sq. ft.,Decimal,space,",",to,Imperial,
sq._ft.,sq. ft.,Decimal,space,",",to,Imperial,
sq.ft.,sq. ft.,Decimal,space,",",to,Imperial,
sq.-ft.,sq. ft.,Decimal,space,",",to,Imperial,
sq.,sq. ft./gal.,Decimal,space,",",to,Imperial,
sq. ft./ gal.,sq. ft./gal.,Decimal,space,",",to,Imperial,
sq. ft./gal.,sq. ft./gal.,Decimal,space,",",to,Imperial,
sq._ft./_gal.,sq. ft./gal.,Decimal,space,",",to,Imperial,
sq._ft./gal.,sq. ft./gal.,Decimal,space,",",to,Imperial,
sq. ft./hr.,sq. ft./hr.,Decimal,space,",",to,Imperial,
sq._ft./hr.,sq. ft./hr.,Decimal,space,",",to,Imperial,
Sq. In.,sq. in.,Decimal,space,",",to,Imperial,
sq. in.,sq. in.,Decimal,space,",",to,Imperial,
Sq._In.,sq. in.,Decimal,space,",",to,Imperial,
sq._in.,sq. in.,Decimal,space,",",to,Imperial,
Sq.-In.,sq. in.,Decimal,space,",",to,Imperial,
sq.-in.,sq. in.,Decimal,space,",",to,Imperial,
sq. m,sq. m,Decimal,space,",",to,Metric,
sq._m,sq. m,Decimal,space,",",to,Metric,
mm sq.,sq. mm,Decimal,space,",",to,Metric,
mm_sq.,sq. mm,Decimal,space,",",to,Metric,
Sq. mm,sq. mm,Decimal,space,",",to,Metric,
sq. mm,sq. mm,Decimal,space,",",to,Metric,
Sq._mm,sq. mm,Decimal,space,",",to,Metric,
sq._mm,sq. mm,Decimal,space,",",to,Metric,
SPM,strokes/min.,Decimal,space,",",to,Imperial,
spm,strokes/min.,Decimal,space,",",to,Imperial,
strokes per minute,strokes/min.,Decimal,space,",",to,Imperial,
strokes/min.,strokes/min.,Decimal,space,",",to,Imperial,
strokes_per_minute,strokes/min.,Decimal,space,",",to,Imperial,
SPS,strokes/sec.,Decimal,space,",",to,Imperial,
stroke per second,strokes/sec.,Decimal,space,",",to,Imperial,
stroke_per_second,strokes/sec.,Decimal,space,",",to,Imperial,
strokes per second,strokes/sec.,Decimal,space,",",to,Imperial,
strokes/sec.,strokes/sec.,Decimal,space,",",to,Imperial,
strokes_per_second,strokes/sec.,Decimal,space,",",to,Imperial,
sv/h,Sv/h,Decimal,space,",",to,Metric,
SWG,SWG,Decimal,space,",",to,Imperial,
swg,SWG,Decimal,space,",",to,Imperial,
T Ohms,T ohms,Decimal,space,",",to,Metric,
t ohms,T ohms,Decimal,space,",",to,Metric,
T_Ohms,T ohms,Decimal,space,",",to,Metric,
t_ohms,T ohms,Decimal,space,",",to,Metric,
ton.,ton.,Decimal,space,",",to,Imperial,
Tons,ton.,Decimal,space,",",to,Imperial,
tons,ton.,Decimal,space,",",to,Imperial,
tons.,ton.,Decimal,space,",",to,Imperial,
ton./sq. ft.,ton./sq. ft.,Decimal,space,",",to,Imperial,
ton./sq._ft.,ton./sq. ft.,Decimal,space,",",to,Imperial,
torr,torr,Decimal,space,",",to,Metric,
turns/min,turns/min.,Decimal,space,",",to,Imperial,
turns/min.,turns/min.,Decimal,space,",",to,Imperial,
V,V,Decimal,,/,-,Metric,
v,V,Decimal,,/,-,Metric,
Volt,V,Decimal,,/,-,Metric,
volt,V,Decimal,,/,-,Metric,
Volts,V,Decimal,,/,-,Metric,
volts,V,Decimal,,/,-,Metric,
V AC,V AC,Decimal,,/,-,Metric,
V Ac,V AC,Decimal,,/,-,Metric,
v ac,V AC,Decimal,,/,-,Metric,
V_AC,V AC,Decimal,,/,-,Metric,
V_Ac,V AC,Decimal,,/,-,Metric,
v_ac,V AC,Decimal,,/,-,Metric,
VAC,V AC,Decimal,,/,-,Metric,
vac,V AC,Decimal,,/,-,Metric,
VCA,V AC,Decimal,,/,-,Metric,
vca,V AC,Decimal,,/,-,Metric,
AC/DC,V AC/DC,Decimal,,/,-,Metric,
ac/dc,V AC/DC,Decimal,,/,-,Metric,
V AC/DC,V AC/DC,Decimal,,/,-,Metric,
v ac/dc,V AC/DC,Decimal,,/,-,Metric,
v dc/ac,V AC/DC,Decimal,,/,-,Metric,
V_AC/DC,V AC/DC,Decimal,,/,-,Metric,
v_ac/dc,V AC/DC,Decimal,,/,-,Metric,
v_dc/ac,V AC/DC,Decimal,,/,-,Metric,
VAC/DC,V AC/DC,Decimal,,/,-,Metric,
vac/dc,V AC/DC,Decimal,,/,-,Metric,
VDC/AC,V AC/DC,Decimal,,/,-,Metric,
vdc/ac,V AC/DC,Decimal,,/,-,Metric,
VDC/VAC,V AC/DC,Decimal,,/,-,Metric,
vdc/vac,V AC/DC,Decimal,,/,-,Metric,
V DC,V DC,Decimal,,/,-,Metric,
v dc,V DC,Decimal,,/,-,Metric,
V_DC,V DC,Decimal,,/,-,Metric,
v_dc,V DC,Decimal,,/,-,Metric,
VCD,V DC,Decimal,,/,-,Metric,
vcd,V DC,Decimal,,/,-,Metric,
VDC,V DC,Decimal,,/,-,Metric,
vdc,V DC,Decimal,,/,-,Metric,
V/mil.,V/mil.,Decimal,space,",",to,Metric,
v/mil.,V/mil.,Decimal,space,",",to,Metric,
VA,VA,Decimal,space,/,-,Imperial,
va,VA,Decimal,space,/,-,Imperial,
VPM,VPM,Decimal,space,",",to,Imperial,
VRMS,VRMS,Decimal,space,",",to,Imperial,
vrms,VRMS,Decimal,space,",",to,Imperial,
Max. W,W,Decimal,space,/,-,Metric,
max. w,W,Decimal,space,/,-,Metric,
Max._W,W,Decimal,space,/,-,Metric,
max._w,W,Decimal,space,/,-,Metric,
W,W,Decimal,space,/,-,Metric,
w,W,Decimal,space,/,-,Metric,
Watt,W,Decimal,space,/,-,Metric,
watt,W,Decimal,space,/,-,Metric,
Watts,W,Decimal,space,/,-,Metric,
watts,W,Decimal,space,/,-,Metric,
W/sq. ft.,W/sq. ft.,Decimal,space,",",to,Imperial,
W/sq._ft.,W/sq. ft.,Decimal,space,",",to,Imperial,
W/sq. in.,W/sq. in.,Decimal,space,",",to,Imperial,
w/sq. in.,W/sq. in.,Decimal,space,",",to,Imperial,
W/sq._in.,W/sq. in.,Decimal,space,",",to,Imperial,
w/sq._in.,W/sq. in.,Decimal,space,",",to,Imperial,
w/mÂ²,W/sq. m,Decimal,space,",",to,Metric,
w/sq. m,W/sq. m,Decimal,space,",",to,Metric,
w/sq._m,W/sq. m,Decimal,space,",",to,Metric,
weeks,weeks,Decimal,space,",",to,Imperial,
Weeks,weeks,Decimal,space,",",to,Imperial,
Wh,Wh,Decimal,space,",",to,Metric,
wh,Wh,Decimal,space,",",to,Metric,
x,x,Decimal,,",",to,Imperial,
x g,xg,Decimal,space,",",to,Imperial,
x_g,xg,Decimal,space,",",to,Imperial,
xg,xg,Decimal,space,",",to,Imperial,
yd,yd.,Decimal,space,",",to,Imperial,
yd.,yd.,Decimal,space,",",to,Imperial,
yd./hr.,yd./hr.,Decimal,space,",",to,Imperial,
yd./min.,yd./min.,Decimal,space,",",to,Imperial,
Year,yr.,Decimal,space,",",to,Imperial,
year,yr.,Decimal,space,",",to,Imperial,
yr,yr.,Decimal,space,",",to,Imperial,
yr.,yr.,Decimal,space,",",to,Imperial,
Years,yrs.,Decimal,space,",",to,Imperial,
years,yrs.,Decimal,space,",",to,Imperial,
yrs.,yrs.,Decimal,space,",",to,Imperial,
Î¼F,μF,Decimal,space,",",to,Metric,
uF,μF,Decimal,space,",",to,Metric,
μf,μF,Decimal,space,",",to,Metric,
μF,μF,Decimal,space,",",to,Metric,
μGy/hr.,μGy/hr.,Decimal,space,",",to,Imperial,
uL,μL,Decimal,space,",",to,Metric,
μl,μL,Decimal,space,",",to,Metric,
uS/cm,μS/cm,Decimal,space,",",to,Metric,
us/cm,μS/cm,Decimal,space,",",to,Metric,
lb/in,lbs./in.,Decimal,space,",",to,Imperial,
